CDM_TBL,src_code,concept_code,src_vocab_code,vocabulary_id,domain_id,target_concept_id
OBS_GEN,1285393008,1285393008,SNOMED,SNOMED,Measurement,37168652
OBS_GEN,385002007,385002007,SNOMED,SNOMED,Observation,4298753
OBS_GEN,1279919000,1279919000,SNOMED,SNOMED,Observation,37158869
OBS_GEN,1268440002,1268440002,SNOMED,SNOMED,Measurement,37167549
OBS_GEN,1269357009,1269357009,SNOMED,SNOMED,Measurement,37168004
OBS_GEN,911753481000004108,911753481000004108,SNOMED,SNOMED,Observation,619806
OBS_GEN,1155800000,1155800000,SNOMED,SNOMED,Observation,607684
OBS_GEN,1286757001,1286757001,SNOMED,SNOMED,Observation,37159101
OBS_GEN,396406008,396406008,SNOMED,SNOMED,Observation,4262745
OBS_GEN,1156344002,1156344002,SNOMED,SNOMED,Measurement,37160189
OBS_GEN,1287138007,1287138007,SNOMED,SNOMED,Observation,1242406
OBS_GEN,1157117008,1157117008,SNOMED,SNOMED,Observation,37151837
OBS_GEN,1268443000,1268443000,SNOMED,SNOMED,Measurement,37167552
OBS_GEN,1268928006,1268928006,SNOMED,SNOMED,Observation,37167752
OBS_GEN,1268559003,1268559003,SNOMED,SNOMED,Observation,37167607
OBS_GEN,1286892003,1286892003,SNOMED,SNOMED,Observation,37168856
OBS_GEN,2960001000004100,2960001000004100,SNOMED,SNOMED,Observation,602282
OBS_GEN,246214002,246214002,SNOMED,SNOMED,Measurement,4078513
OBS_GEN,1285548001,1285548001,SNOMED,SNOMED,Measurement,37168699
OBS_GEN,1268935003,1268935003,SNOMED,SNOMED,Observation,37154533
OBS_GEN,1155897008,1155897008,SNOMED,SNOMED,Observation,603065
OBS_GEN,1148993000,1148993000,SNOMED,SNOMED,Observation,602965
OBS_GEN,371489008,371489008,SNOMED,SNOMED,Measurement,4160346
OBS_GEN,1268575000,1268575000,SNOMED,SNOMED,Observation,37167612
OBS_GEN,1285100007,1285100007,SNOMED,SNOMED,Measurement,37168567
OBS_GEN,1286919007,1286919007,SNOMED,SNOMED,Observation,37159126
OBS_GEN,1279927009,1279927009,SNOMED,SNOMED,Observation,37154623
OBS_GEN,911753511000004104,911753511000004104,SNOMED,SNOMED,Observation,619809
OBS_GEN,1157131008,1157131008,SNOMED,SNOMED,Observation,37151838
OBS_GEN,1157115000,1157115000,SNOMED,SNOMED,Observation,37151836
OBS_GEN,1285428006,1285428006,SNOMED,SNOMED,Measurement,37168667
OBS_GEN,911753761000004105,911753761000004105,SNOMED,SNOMED,Observation,619824
OBS_GEN,1285298001,1285298001,SNOMED,SNOMED,Measurement,37168630
OBS_GEN,1155778002,1155778002,SNOMED,SNOMED,Observation,607664
OBS_GEN,1149015003,1149015003,SNOMED,SNOMED,Observation,607041
OBS_GEN,1256116009,1256116009,SNOMED,SNOMED,Measurement,37165970
OBS_GEN,895467003,895467003,SNOMED,SNOMED,Observation,619436
